State name,CD,Turnout
Tennessee,4,39.36244793
Tennessee,5,46.5146143
Tennessee,6,42.04508767
Tennessee,7,43.98915419
Tennessee,8,47.27886429
Tennessee,9,35.77778172
Texas,1,45.45543328
Texas,2,50.63478027
Texas,3,55.44967496
Texas,4,45.87156808
Texas,5,43.59189364
Texas,6,46.1578954
Texas,7,54.343442
Texas,8,46.77256142
Texas,9,34.33333184
Texas,10,51.85511489
Texas,11,40.61724754
Texas,12,46.90528309
Texas,13,42.01240398
Texas,14,44.07153582
Texas,15,37.87071719
Texas,16,39.60299821
Texas,17,43.1076224
Texas,18,38.37156293
Texas,19,39.61336835
Texas,20,31.29541769
Texas,21,56.83077586
Texas,22,51.52868162
Texas,23,41.38907333
Texas,24,52.28975358
Texas,25,53.40805067
Texas,26,51.63246862
Texas,27,40.09940708
Texas,28,32.05719483
Texas,29,31.82058233
Texas,30,38.23437324
Texas,31,47.49085076
Texas,32,54.4846768
Texas,33,33.09700022
Texas,34,33.67391371
Texas,35,36.41257339
Texas,36,42.73438779
Utah,1,48.76792128
Utah,2,50.98941104
Utah,3,49.98725495
Utah,4,51.94591487
Vermont,a,55.61552269
Virginia,1,56.26150935
Virginia,2,48.87405546
Virginia,3,38.93893625
Virginia,4,51.73410903
Virginia,5,53.74405174
Virginia,6,48.28384435
Virginia,7,59.48413515
Virginia,8,60.88069934
Virginia,9,43.53489684
Virginia,10,65.07377074
Virginia,11,60.44259865
Washington,1,64.04384521
Washington,2,52.80707693
Washington,3,56.37236373
Washington,4,50.85018854
Washington,5,58.0831212
Washington,6,56.58337872
Washington,7,65.7449931
Washington,8,59.86342915
Washington,9,48.19204942
Washington,10,49.59581454
West Virginia,1,40.75735051
West Virginia,2,42.03379255
West Virginia,3,38.2378071
Wisconsin,1,60.26743783
Wisconsin,2,54.89760821
Wisconsin,3,55.58302453
Wisconsin,4,55.37683796
Wisconsin,5,65.19054053
Wisconsin,6,58.41397342
Wisconsin,7,58.41661374
Wisconsin,8,59.11022015
Wyoming,a,47.3372167
